2026/03/21 09:25:15 Загружено 2 подписчиков
2026/03/21 09:25:16 Запуск анализа рынка (1h Stoch RSI)...
2026/03/21 09:29:29 1000RATSUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:29:30 1000TAGUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:29:30 1000TOSHIUSDT Stoch RSI(1h,7)=84.10
2026/03/21 09:29:31 1000TURBOUSDT Stoch RSI(1h,7)=79.99
2026/03/21 09:29:31 1000XECUSDT Stoch RSI(1h,7)=76.41
2026/03/21 09:29:31 1INCHUSDT Stoch RSI(1h,7)=67.39
2026/03/21 09:29:32 2ZUSDT Stoch RSI(1h,7)=86.49
2026/03/21 09:29:32 4USDT Stoch RSI(1h,7)=18.03
2026/03/21 09:29:33 AAVEPERP Stoch RSI(1h,7)=81.29
2026/03/21 09:29:33 AAVEUSDT Stoch RSI(1h,7)=55.55
2026/03/21 09:29:34 ACEUSDT Stoch RSI(1h,7)=11.00
2026/03/21 09:29:34 ACHUSDT Stoch RSI(1h,7)=67.92
2026/03/21 09:29:35 ACTUSDT Stoch RSI(1h,7)=63.98
2026/03/21 09:29:35 ACUUSDT Stoch RSI(1h,7)=45.93
2026/03/21 09:29:36 ACXUSDT Stoch RSI(1h,7)=6.60
2026/03/21 09:29:36 ADAUSDT Stoch RSI(1h,7)=69.97
2026/03/21 09:29:36 AERGOUSDT Stoch RSI(1h,7)=68.45
2026/03/21 09:29:37 AEROUSDT Stoch RSI(1h,7)=73.33
2026/03/21 09:29:37 AEVOPERP Stoch RSI(1h,7)=95.09
2026/03/21 09:29:38 AEVOUSDT Stoch RSI(1h,7)=92.37
2026/03/21 09:29:38 AGIUSDT Stoch RSI(1h,7)=55.20
2026/03/21 09:29:39 AGLDUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:29:39 AIOUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:29:40 AIOZUSDT Stoch RSI(1h,7)=84.19
2026/03/21 09:29:40 AIXBTUSDT Stoch RSI(1h,7)=10.68
2026/03/21 09:29:40 AKEUSDT Stoch RSI(1h,7)=8.45
2026/03/21 09:29:41 AKTUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:29:41 ALCHUSDT Stoch RSI(1h,7)=9.33
2026/03/21 09:29:42 ALGOUSDT Stoch RSI(1h,7)=53.91
2026/03/21 09:29:42 ALICEUSDT Stoch RSI(1h,7)=22.22
2026/03/21 09:29:43 ALLOUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:29:43 ALPINEUSDT Stoch RSI(1h,7)=81.68
2026/03/21 09:29:44 ALTUSDT Stoch RSI(1h,7)=83.56
2026/03/21 09:29:44 ANIMEUSDT Stoch RSI(1h,7)=84.50
2026/03/21 09:29:44 ANKRUSDT Stoch RSI(1h,7)=88.89
2026/03/21 09:29:45 APEUSDT Stoch RSI(1h,7)=64.42
2026/03/21 09:29:45 APEXUSDT Stoch RSI(1h,7)=81.12
2026/03/21 09:29:46 API3USDT Stoch RSI(1h,7)=86.77
2026/03/21 09:29:46 APRUSDT Stoch RSI(1h,7)=29.90
2026/03/21 09:29:47 APTUSDT Stoch RSI(1h,7)=16.54
2026/03/21 09:29:47 ARBPERP Stoch RSI(1h,7)=74.48
2026/03/21 09:29:48 ARBUSDT Stoch RSI(1h,7)=57.80
2026/03/21 09:29:48 ARCUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:29:48 ARIAUSDT Stoch RSI(1h,7)=1.55
2026/03/21 09:29:49 ARKMUSDT Stoch RSI(1h,7)=31.43
2026/03/21 09:29:49 ARKUSDT Stoch RSI(1h,7)=76.23
2026/03/21 09:29:50 ARPAUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:29:50 ARUSDT Stoch RSI(1h,7)=49.33
2026/03/21 09:29:51 ASPUSDT Stoch RSI(1h,7)=94.51
2026/03/21 09:29:51 ASRUSDT Stoch RSI(1h,7)=97.35
2026/03/21 09:29:52 ASTERPERP Stoch RSI(1h,7)=75.57
2026/03/21 09:29:52 ASTERUSDT Stoch RSI(1h,7)=63.89
2026/03/21 09:29:53 ASTRUSDT Stoch RSI(1h,7)=43.39
2026/03/21 09:29:53 ATHUSDT Stoch RSI(1h,7)=14.34
2026/03/21 09:29:54 ATOMUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:29:54 ATUSDT Stoch RSI(1h,7)=74.73
2026/03/21 09:29:54 AUCTIONUSDT Stoch RSI(1h,7)=79.67
2026/03/21 09:29:55 AUSDT Stoch RSI(1h,7)=71.82
2026/03/21 09:29:55 AVAAIUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:29:56 AVAUSDT Stoch RSI(1h,7)=68.26
2026/03/21 09:29:56 AVAXUSDT Stoch RSI(1h,7)=70.72
2026/03/21 09:29:57 AVLUSDT Stoch RSI(1h,7)=84.36
2026/03/21 09:29:57 AVNTPERP Stoch RSI(1h,7)=0.00
2026/03/21 09:29:57 AVNTUSDT Stoch RSI(1h,7)=74.83
2026/03/21 09:29:58 AWEUSDT Stoch RSI(1h,7)=58.92
2026/03/21 09:29:58 AXLUSDT Stoch RSI(1h,7)=54.68
2026/03/21 09:29:59 AXSUSDT Stoch RSI(1h,7)=37.68
2026/03/21 09:29:59 AZTECUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:30:00 B2USDT Stoch RSI(1h,7)=56.41
2026/03/21 09:30:00 B3USDT Stoch RSI(1h,7)=71.98
2026/03/21 09:30:01 BABYUSDT Stoch RSI(1h,7)=66.94
2026/03/21 09:30:01 BANANAS31USDT Stoch RSI(1h,7)=42.97
2026/03/21 09:30:02 BANANAUSDT Stoch RSI(1h,7)=64.61
2026/03/21 09:30:02 BANDUSDT Stoch RSI(1h,7)=73.31
2026/03/21 09:30:03 BANKUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:30:03 BANUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:30:04 BARDUSDT Stoch RSI(1h,7)=88.83
2026/03/21 09:30:04 BATUSDT Stoch RSI(1h,7)=68.95
2026/03/21 09:30:05 BBUSDT Stoch RSI(1h,7)=85.70
2026/03/21 09:30:05 BCHPERP Stoch RSI(1h,7)=100.00
2026/03/21 09:30:06 BCHUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:30:06 Анализ завершён. Следующий запуск через 1 минуту...
2026/03/21 09:31:06 Запуск анализа рынка (1h Stoch RSI)...
2026/03/21 09:31:08 0GUSDT Stoch RSI(1h,7)=80.65
2026/03/21 09:31:08 1000000BABYDOGEUSDT Stoch RSI(1h,7)=71.69
2026/03/21 09:31:09 1000000CHEEMSUSDT Stoch RSI(1h,7)=55.46
2026/03/21 09:31:09 1000000MOGUSDT Stoch RSI(1h,7)=77.85
2026/03/21 09:31:09 10000QUBICUSDT Stoch RSI(1h,7)=56.63
2026/03/21 09:31:10 10000SATSUSDT Stoch RSI(1h,7)=80.23
2026/03/21 09:31:10 1000BONKPERP Stoch RSI(1h,7)=58.86
2026/03/21 09:31:11 1000BONKUSDT Stoch RSI(1h,7)=40.13
2026/03/21 09:31:11 1000BTTUSDT Stoch RSI(1h,7)=39.80
2026/03/21 09:31:12 1000CATUSDT Stoch RSI(1h,7)=86.66
2026/03/21 09:31:13 1000FLOKIUSDT Stoch RSI(1h,7)=35.88
2026/03/21 09:31:13 1000LUNCUSDT Stoch RSI(1h,7)=39.47
2026/03/21 09:31:13 1000NEIROCTOPERP Stoch RSI(1h,7)=52.78
2026/03/21 09:31:14 1000NEIROCTOUSDT Stoch RSI(1h,7)=23.94
2026/03/21 09:31:14 1000PEPEPERP Stoch RSI(1h,7)=100.00
2026/03/21 09:31:15 1000PEPEUSDT Stoch RSI(1h,7)=49.58
2026/03/21 09:31:15 1000RATSUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:31:16 1000TAGUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:31:16 1000TOSHIUSDT Stoch RSI(1h,7)=84.10
2026/03/21 09:31:17 1000TURBOUSDT Stoch RSI(1h,7)=79.99
2026/03/21 09:31:17 1000XECUSDT Stoch RSI(1h,7)=76.41
2026/03/21 09:31:18 1INCHUSDT Stoch RSI(1h,7)=68.52
